platillo,tiempo,dia,theme,food_id,alimento_match,gramos,ingrediente_texto,porcion_original,confianza,nivel,metodo,revisar
D01 Desayuno · Chilaquiles Ligeros,Desayuno,1,🇲🇽 Mexicana,,,,Salsa verde hecha en casa,Salsa verde hecha en casa,0.0,baja,sin-cantidad,SI
D01 Desayuno · Chilaquiles Ligeros,Desayuno,1,🇲🇽 Mexicana,totopos-de-maiz,Totopos de maíz,,1 tz totopos horneados,1 tz totopos horneados,0.9,media,REVISAR-medida(taza≠gramos),SI
D01 Desayuno · Chilaquiles Ligeros,Desayuno,1,🇲🇽 Mexicana,huevo-entero-fresco,Huevo entero fresco,88,2 pz de huevo,2 pz de huevo,0.9,alta,2.0×pieza(44.0g),
D01 Desayuno · Chilaquiles Ligeros,Desayuno,1,🇲🇽 Mexicana,queso-panela,Queso Panela,60,60 g queso panela o fresco,60 g queso panela o fresco,0.9,alta,gramos-directos,
D01 Desayuno · Chilaquiles Ligeros,Desayuno,1,🇲🇽 Mexicana,aguacate-hass,Aguacate Hass,63,2/3 pz de aguacate,2/3 pz de aguacate,0.9,alta,0.6666666666666666×pieza(93.94g),
D01 Comida · Alambre de Pollo,Comida,1,🇲🇽 Mexicana,pechuga-de-pollo-sin-piel,Pechuga de pollo sin piel,200,200 g pechuga de pollo salpimentada,200 g pechuga de pollo salpimentada,0.9,alta,gramos-directos,
D01 Comida · Alambre de Pollo,Comida,1,🇲🇽 Mexicana,pimiento-fresco,Pimiento fresco,,"Pimientos, brócoli, chile y cebolla","Pimientos, brócoli, chile y cebolla",0.9,media,sin-cantidad,SI
D01 Comida · Alambre de Pollo,Comida,1,🇲🇽 Mexicana,queso-oaxaca,Queso Oaxaca,30,30 g queso oaxaca o mozzarella,30 g queso oaxaca o mozzarella,0.9,alta,gramos-directos,
D01 Comida · Alambre de Pollo,Comida,1,🇲🇽 Mexicana,arroz-cocido,Arroz cocido,376,2 tz arroz cocido,2 tz arroz cocido,0.9,alta,2.0×taza(188.0g),
D01 Cena · Ceviche de Panela,Cena,1,🇲🇽 Mexicana,queso-panela,Queso Panela,150,150 g queso panela,150 g queso panela,0.9,alta,gramos-directos,
D01 Cena · Ceviche de Panela,Cena,1,🇲🇽 Mexicana,,,,"Chile, cebolla morada, pepino","Chile, cebolla morada, pepino",0.0,baja,sin-cantidad,SI
D01 Cena · Ceviche de Panela,Cena,1,🇲🇽 Mexicana,aguacate-hass,Aguacate Hass,31,1/3 pz de aguacate,1/3 pz de aguacate,0.9,alta,0.3333333333333333×pieza(93.94g),
D01 Cena · Ceviche de Panela,Cena,1,🇲🇽 Mexicana,jugo-de-limon,Jugo de limón,,"Jugo de limón, sal y salsa soya","Jugo de limón, sal y salsa soya",0.9,media,sin-cantidad,SI
D01 Cena · Ceviche de Panela,Cena,1,🇲🇽 Mexicana,totopos-de-maiz,Totopos de maíz,,1 tz totopos horneados,1 tz totopos horneados,0.9,media,REVISAR-medida(taza≠gramos),SI
D01 Snack AM · Snack AM,Snack AM,1,🇲🇽 Mexicana,pan-de-caja,Pan de caja,54,2 reb pan,2 reb pan + 1 cda crema de cacahuate + 2 tz mango,0.9,alta,2.0×rebanada(27.0g),
D01 Snack AM · Snack AM,Snack AM,1,🇲🇽 Mexicana,mantequilla-de-cacahuate,Mantequilla de cacahuate,,1 cda crema de cacahuate,2 reb pan + 1 cda crema de cacahuate + 2 tz mango,0.9,media,REVISAR-medida(cda≠cucharadita),SI
D01 Snack AM · Snack AM,Snack AM,1,🇲🇽 Mexicana,mango-picado,Mango picado,330,2 tz mango,2 reb pan + 1 cda crema de cacahuate + 2 tz mango,0.9,alta,2.0×taza(165.0g),
D01 Snack PM · Snack PM,Snack PM,1,🇲🇽 Mexicana,yoghurt-natural,Yoghurt natural,454,2 tz yogur natural sin azúcar,2 tz yogur natural sin azúcar + ½ plátano + ½ tz granola sin azúcar + ½ tz avena,0.9,alta,2.0×taza(227.0g),
D01 Snack PM · Snack PM,Snack PM,1,🇲🇽 Mexicana,platano,Plátano,54,½ plátano,2 tz yogur natural sin azúcar + ½ plátano + ½ tz granola sin azúcar + ½ tz avena,0.9,alta,0.5×pieza(108.0g),
D01 Snack PM · Snack PM,Snack PM,1,🇲🇽 Mexicana,granola-estandar,Granola estándar,,½ tz granola sin azúcar,2 tz yogur natural sin azúcar + ½ plátano + ½ tz granola sin azúcar + ½ tz avena,0.9,media,REVISAR-medida(taza≠cucharada),SI
D01 Snack PM · Snack PM,Snack PM,1,🇲🇽 Mexicana,avena-en-hojuelas,Avena en hojuelas,20,½ tz avena,2 tz yogur natural sin azúcar + ½ plátano + ½ tz granola sin azúcar + ½ tz avena,0.9,alta,0.5×taza(40.0g),
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,huevo-entero-fresco,Huevo entero fresco,176,4 huevos,4 huevos,0.9,alta,4.0×pieza(44.0g),
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,clara-de-huevo,Clara de huevo,,¾ tz claras de huevo,¾ tz claras de huevo,0.9,media,REVISAR-medida(taza≠pieza),SI
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,pechuga-de-pavo,Pechuga de pavo,85,4 reb pechuga de pavo,4 reb pechuga de pavo,0.9,alta,4.0×rebanada(21.33g),
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,espinaca-cruda,Espinaca cruda,,Espinaca,"Espinaca + chile, tomate y cebolla",0.9,media,sin-cantidad,SI
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,,,,"chile, tomate y cebolla","Espinaca + chile, tomate y cebolla",0.0,baja,sin-cantidad,SI
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,pan-integral,Pan integral,100,4 reb pan integral,4 reb pan integral + 1 tz frutos rojos,0.9,alta,4.0×rebanada(25.0g),
D02 Desayuno · Omelette,Desayuno,2,🇲🇽 Mexicana,moras,Moras,144,1 tz frutos rojos,4 reb pan integral + 1 tz frutos rojos,0.9,alta,1.0×taza(144.0g),
D02 Comida · Caldo de Pollo,Comida,2,🇲🇽 Mexicana,pechuga-de-pollo-sin-piel-cocida,Pechuga de pollo sin piel cocida,200,200 g pechuga de pollo cocida,200 g pechuga de pollo cocida,0.9,alta,gramos-directos,
D02 Comida · Caldo de Pollo,Comida,2,🇲🇽 Mexicana,,,,"Caldo con verduras (chayote, zanahoria, calabaza, ejote)","Caldo con verduras (chayote, zanahoria, calabaza, ejote)",0.0,baja,sin-cantidad,SI
D02 Comida · Caldo de Pollo,Comida,2,🇲🇽 Mexicana,arroz-cocido,Arroz cocido,564,3 tz arroz blanco cocido,3 tz arroz blanco cocido,0.9,alta,3.0×taza(188.0g),
D02 Comida · Caldo de Pollo,Comida,2,🇲🇽 Mexicana,limon-real,Limón real,,Limón y hierbas al gusto,Limón y hierbas al gusto,0.9,media,sin-cantidad,SI
D02 Cena · Molletes,Cena,2,🇲🇽 Mexicana,pan-integral,Pan integral,75,3 reb pan integral,3 reb pan integral,0.9,alta,3.0×rebanada(25.0g),
D02 Cena · Molletes,Cena,2,🇲🇽 Mexicana,frijol-molido,Frijol molido,74,⅓ tz frijoles cocidos machacados sin grasa,⅓ tz frijoles cocidos machacados sin grasa,0.9,alta,0.3333333333333333×taza(221.21g),
D02 Cena · Molletes,Cena,2,🇲🇽 Mexicana,queso-panela,Queso Panela,100,100 g queso panela o fresco,100 g queso panela o fresco,0.9,alta,gramos-directos,
D02 Cena · Molletes,Cena,2,🇲🇽 Mexicana,,,,"Pico de gallo (chile, tomate, cebolla, limón","Pico de gallo (chile, tomate, cebolla, limón + sal)",0.0,baja,sin-cantidad,SI
D02 Cena · Molletes,Cena,2,🇲🇽 Mexicana,,,,sal),"Pico de gallo (chile, tomate, cebolla, limón + sal)",0.0,baja,sin-cantidad,SI
D02 Snack AM · Snack AM,Snack AM,2,🇲🇽 Mexicana,yoghurt-natural,Yoghurt natural,114,½ tz yogur natural sin azúcar,½ tz yogur natural sin azúcar + 1 manzana picada + ½ plátano,0.9,alta,0.5×taza(227.0g),
D02 Snack AM · Snack AM,Snack AM,2,🇲🇽 Mexicana,manzana,Manzana,106,1 manzana picada,½ tz yogur natural sin azúcar + 1 manzana picada + ½ plátano,0.9,alta,1.0×pieza(106.0g),
D02 Snack AM · Snack AM,Snack AM,2,🇲🇽 Mexicana,platano,Plátano,54,½ plátano,½ tz yogur natural sin azúcar + 1 manzana picada + ½ plátano,0.9,alta,0.5×pieza(108.0g),
D02 Snack PM · Snack PM,Snack PM,2,🇲🇽 Mexicana,cacahuate,Cacahuate,10,10 g semillas (8-9 pz ej. cacahuates naturales),10 g semillas (8-9 pz ej. cacahuates naturales),0.9,alta,gramos-directos,
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,machaca,Machaca,40,40 g machaca de res,40 g machaca de res,0.9,alta,gramos-directos,
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,clara-de-huevo,Clara de huevo,,1 taza claras de huevo,1 taza claras de huevo,0.9,media,REVISAR-medida(taza≠pieza),SI
D03 Desayuno · Machaca con Nopales,Desayuno,3,🇲🇽 Mexicana,nopal-crudo,Nopal crudo,,"Nopales en tiras, tomate","Nopales en tiras, tomate + cebolla + chile + cilantro",0.9,media,sin-cantidad,SI
